,precision,recall,f1-score,support
ApplyEyeMakeup,0.4807692307692308,0.5681818181818182,0.5208333333333334,44.0
ApplyLipstick,0.5238095238095238,0.6875,0.5945945945945946,32.0
Archery,0.5384615384615384,0.34146341463414637,0.417910447761194,41.0
BabyCrawling,0.673469387755102,0.9428571428571428,0.7857142857142857,35.0
BandMarching,0.9487179487179487,0.8604651162790697,0.9024390243902439,43.0
BaseballPitch,0.7560975609756098,0.8378378378378378,0.7948717948717948,37.0
Basketball,0.4838709677419355,0.42857142857142855,0.45454545454545453,35.0
BenchPress,0.9047619047619048,0.7916666666666666,0.8444444444444444,48.0
Biking,0.8125,0.7878787878787878,0.8,33.0
Billiards,0.975609756097561,1.0,0.9876543209876543,40.0
BlowDryHair,0.3829787234042553,0.47368421052631576,0.4235294117647059,38.0
BlowingCandles,0.6744186046511628,0.8787878787878788,0.7631578947368421,33.0
Bowling,1.0,0.8837209302325582,0.9382716049382716,43.0
BoxingPunchingBag,0.4666666666666667,0.42857142857142855,0.44680851063829785,49.0
BreastStroke,0.92,0.8214285714285714,0.8679245283018868,28.0
BrushingTeeth,0.4074074074074074,0.3055555555555556,0.3492063492063492,36.0
CleanAndJerk,0.3870967741935484,0.7272727272727273,0.5052631578947369,33.0
CricketBowling,0.5106382978723404,0.6666666666666666,0.5783132530120482,36.0
CricketShot,0.5,0.5306122448979592,0.5148514851485149,49.0
CuttingInKitchen,0.8571428571428571,0.9090909090909091,0.8823529411764706,33.0
Diving,0.7321428571428571,0.9761904761904762,0.8367346938775511,42.0
Drumming,0.9354838709677419,0.6744186046511628,0.7837837837837838,43.0
Fencing,0.8157894736842105,0.9117647058823529,0.8611111111111112,34.0
FieldHockeyPenalty,0.48214285714285715,0.675,0.5625,40.0
FloorGymnastics,0.627906976744186,0.75,0.6835443037974683,36.0
FrisbeeCatch,0.7037037037037037,0.5135135135135135,0.59375,37.0
GolfSwing,0.6363636363636364,0.4666666666666667,0.5384615384615384,30.0
Haircut,0.3384615384615385,0.6666666666666666,0.4489795918367347,33.0
HammerThrow,0.5365853658536586,0.9777777777777777,0.6929133858267716,45.0
Hammering,0.8333333333333334,0.45454545454545453,0.5882352941176471,33.0
HeadMassage,0.6571428571428571,0.5609756097560976,0.6052631578947368,41.0
HighJump,0.6190476190476191,0.35135135135135137,0.4482758620689655,37.0
HorseRiding,0.9791666666666666,0.9591836734693877,0.9690721649484536,49.0
HulaHoop,0.7647058823529411,0.38235294117647056,0.5098039215686274,34.0
IceDancing,0.8627450980392157,0.9565217391304348,0.9072164948453608,46.0
JavelinThrow,0.30434782608695654,0.22580645161290322,0.25925925925925924,31.0
JugglingBalls,0.5957446808510638,0.7,0.6436781609195402,40.0
JumpRope,0.3870967741935484,0.36363636363636365,0.375,33.0
JumpingJack,0.7692307692307693,0.5405405405405406,0.6349206349206349,37.0
Kayaking,0.6875,0.6111111111111112,0.6470588235294118,36.0
Knitting,0.9090909090909091,0.8823529411764706,0.8955223880597015,34.0
LongJump,0.7352941176470589,0.6410256410256411,0.684931506849315,39.0
Lunges,0.9,0.2571428571428571,0.4,35.0
Mixing,0.7555555555555555,0.7555555555555555,0.7555555555555555,45.0
MoppingFloor,0.5555555555555556,0.7352941176470589,0.6329113924050633,34.0
Nunchucks,0.3333333333333333,0.14285714285714285,0.2,35.0
ParallelBars,0.66,0.8918918918918919,0.7586206896551724,37.0
PizzaTossing,0.42424242424242425,0.42424242424242425,0.42424242424242425,33.0
PlayingDaf,0.92,0.5609756097560976,0.696969696969697,41.0
PlayingFlute,0.7704918032786885,0.9791666666666666,0.8623853211009175,48.0
PlayingGuitar,1.0,0.7674418604651163,0.868421052631579,43.0
PlayingPiano,0.7567567567567568,1.0,0.8615384615384616,28.0
PlayingTabla,1.0,0.7096774193548387,0.8301886792452831,31.0
PlayingViolin,0.5897435897435898,0.8214285714285714,0.6865671641791045,28.0
PoleVault,0.7083333333333334,0.85,0.7727272727272727,40.0
PommelHorse,0.76,0.5588235294117647,0.6440677966101694,34.0
PullUps,0.425,0.6296296296296297,0.5074626865671642,27.0
Punch,0.8974358974358975,0.8974358974358975,0.8974358974358975,39.0
PushUps,0.5,0.5,0.5,30.0
Rafting,0.9583333333333334,0.8214285714285714,0.8846153846153846,28.0
RockClimbingIndoor,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0
Rowing,0.7142857142857143,0.9722222222222222,0.8235294117647058,36.0
SalsaSpin,0.8947368421052632,0.3953488372093023,0.5483870967741935,43.0
ShavingBeard,0.5142857142857142,0.4186046511627907,0.46153846153846156,43.0
Shotput,0.5909090909090909,0.2826086956521739,0.38235294117647056,46.0
SkateBoarding,0.6774193548387096,0.65625,0.6666666666666666,32.0
Skiing,0.5263157894736842,0.75,0.6185567010309279,40.0
Skijet,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0
SkyDiving,0.7560975609756098,1.0,0.8611111111111112,31.0
SoccerPenalty,0.8,0.975609756097561,0.8791208791208791,41.0
SumoWrestling,0.967741935483871,0.8823529411764706,0.9230769230769231,34.0
Surfing,0.8611111111111112,0.9393939393939394,0.8985507246376812,33.0
Swing,1.0,0.43902439024390244,0.6101694915254238,41.0
TaiChi,0.5882352941176471,0.35714285714285715,0.4444444444444444,28.0
TennisSwing,0.6923076923076923,0.8372093023255814,0.7578947368421053,43.0
ThrowDiscus,0.4117647058823529,0.3684210526315789,0.3888888888888889,38.0
Typing,0.803921568627451,0.9534883720930233,0.8723404255319149,43.0
UnevenBars,0.8,0.7142857142857143,0.7547169811320755,28.0
VolleyballSpiking,0.6428571428571429,0.8181818181818182,0.72,33.0
WalkingWithDog,0.5714285714285714,0.47058823529411764,0.5161290322580645,34.0
WritingOnBoard,0.8431372549019608,0.9555555555555556,0.8958333333333334,45.0
YoYo,0.631578947368421,0.3333333333333333,0.43636363636363634,36.0
accuracy,0.6826544021024967,0.6826544021024967,0.6826544021024967,0.6826544021024967
macro avg,0.6971018985329297,0.679724588857581,0.6708107319029115,3044.0
weighted avg,0.7009578537966185,0.6826544021024967,0.6741752954407483,3044.0
